id;r;g;b
0;125;255;0
1;0;255;0
2;0;255;125
3;0;255;255
16;0;200;255
4;0;125;255
5;0;0;255
6;125;0;255
13;185;0;255
7;255;0;255
8;255;0;125
9;255;0;0
29;255;75;0
10;255;125;0
14;255;185;0
11;255;255;0
12;255;255;255
17;175;175;175
18;90;90;90
15;0;0;0
27;125;125;0
32;100;150;0
28;75;175;0
38;0;150;0
20;0;175;75
33;0;150;100
21;0;125;125
34;0;100;150
22;0;75;175
39;0;0;150
23;75;0;175
35;100;0;150
24;125;0;125
36;150;0;100
25;175;0;75
37;150;0;0
30;150;50;0
26;175;75;0
31;150;100;0
19;255;125;125
40;125;255;175
41;125;125;255
